source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0006955,immune response,3.9682330643914715e-15,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2118,34,25,20972,0.7352941176470589,0.011803588290840416,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0006952,defense response,5.91391282974201e-15,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1883,34,24,20972,0.7058823529411765,0.012745618693574084,query_1,['GO:0006950']
GO:BP,GO:0002684,positive regulation of immune system process,2.9314867660526405e-14,True,"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]",1111,34,20,20972,0.5882352941176471,0.018001800180018002,query_1,"['GO:0002376', 'GO:0002682', 'GO:0048518']"
GO:BP,GO:0002376,immune system process,4.5164093999203514e-13,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2913,34,26,20972,0.7647058823529411,0.008925506350841057,query_1,['GO:0008150']
GO:BP,GO:0002682,regulation of immune system process,1.6388959978968355e-12,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1594,34,21,20972,0.6176470588235294,0.013174404015056462,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0001775,cell activation,1.863049243752364e-11,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1123,34,18,20972,0.5294117647058824,0.016028495102404273,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0009605,response to external stimulus,3.4756018249117306e-11,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2427,34,23,20972,0.6764705882352942,0.009476720230737536,query_1,['GO:0050896']
GO:BP,GO:0002252,immune effector process,1.2935518036826848e-10,True,"""Any process of the immune system that executes a component of an immune response. An effector immune process takes place after its activation."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",710,34,15,20972,0.4411764705882353,0.02112676056338028,query_1,['GO:0002376']
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,2.3890439941510134e-10,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1777,34,20,20972,0.5882352941176471,0.011254924029262802,query_1,['GO:0008150']
GO:BP,GO:0051707,response to other organism,6.01191451201649e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1610,34,19,20972,0.5588235294117647,0.011801242236024845,query_1,"['GO:0043207', 'GO:0044419']"
